Instance ID,Lowest CPU Utilization,Highest CPU Utilization,Average CPU Utilization,Lowest Memory Utilization,Highest Memory Utilization,Average Memory Utilization,Lowest Disk Read BPS,Highest Disk Read BPS,Average Disk Read BPS,Lowest Disk Write BPS,Highest Disk Write BPS,Average Disk Write BPS
i-k1aafcztonseplipknuw,null,null,null,null,null,null,null,null,null,null,null,null
i-k1adlzu5w4tnjmkloqo1,21.78%,38.80%,29.13%,null,null,null,0.00 KB,1562.93 KB,113.52 KB,115.93 KB,4200.67 KB,1051.17 KB
i-k1aan4jn2bq2mgsgdi7q,null,null,null,null,null,null,null,null,null,null,null,null
i-k1agln6fbn3x325y4ujm,7.47%,54.88%,16.67%,34.34%,36.37%,35.29%,0.00 KB,765.26 KB,36.99 KB,87.13 KB,6387.53 KB,2348.99 KB
i-k1a0oe0boslovg4058uh,15.56%,53.05%,21.20%,27.73%,31.05%,29.67%,11.40 KB,2754.86 KB,202.79 KB,222.40 KB,10584.00 KB,2982.81 KB
i-k1agqsi8sclydcl7c29t,null,null,null,null,null,null,null,null,null,null,null,null
i-k1a5ily5wucxexrx6hs5,4.18%,54.50%,14.70%,18.92%,22.02%,20.27%,0.00 KB,1830.12 KB,113.69 KB,64.33 KB,10000.20 KB,2340.26 KB
i-k1a5jts5957vvh6bgbfk,5.17%,52.76%,11.90%,77.90%,79.77%,78.53%,86.13 KB,6722.86 KB,1415.73 KB,8008.87 KB,12397.67 KB,10779.70 KB
i-k1a0q8wtn7an0y8ede1o,null,null,null,null,null,null,null,null,null,null,null,null
i-k1acjdhojwup01ga0dd2,null,null,null,null,null,null,null,null,null,null,null,null
i-k1ai427v8bhyoxebhlme,null,null,null,null,null,null,null,null,null,null,null,null
i-k1afar8a0nwgtvohz118,null,null,null,null,null,null,null,null,null,null,null,null
i-k1a3a8ksiafqa6zrrwfx,null,null,null,null,null,null,null,null,null,null,null,null
i-k1ag7qk7kzq5zfvst27y,null,null,null,null,null,null,null,null,null,null,null,null
i-k1ag7qk7kzq5y4j23o31,null,null,null,null,null,null,null,null,null,null,null,null
i-k1a3a8ksiafpwbsy97oh,null,null,null,null,null,null,null,null,null,null,null,null
i-k1a90oki8n5zppwdrrds,9.66%,53.06%,27.50%,67.43%,70.11%,69.03%,15946.80 KB,20514.76 KB,18172.70 KB,115.07 KB,10885.73 KB,4483.65 KB
i-k1a9aotour1cpmujmx78,7.77%,52.18%,20.34%,33.49%,36.78%,35.12%,0.00 KB,5509.86 KB,338.44 KB,136.27 KB,9312.60 KB,2863.08 KB
i-k1aj9n1uew0ias3idlx7,null,null,null,null,null,null,null,null,null,null,null,null
i-k1aj9n1uew0ias3idlx6,null,null,null,null,null,null,null,null,null,null,null,null
i-k1adr238tl09g1jx4lv5,6.48%,97.39%,30.47%,36.90%,44.08%,39.65%,0.27 KB,7428.93 KB,459.27 KB,65.93 KB,8742.80 KB,2461.60 KB
i-k1ahlg0mqfhpff2rmk68,13.64%,52.59%,21.32%,56.82%,61.71%,59.82%,6924.69 KB,12794.66 KB,8502.59 KB,2137.53 KB,10495.00 KB,3732.07 KB
i-k1aake43q5ptqztqrlwh,54.43%,100.00%,93.80%,73.26%,75.56%,74.72%,6239.41 KB,405990.00 KB,94956.45 KB,1755.53 KB,11654.60 KB,5523.15 KB
i-k1ajebgm8f9vjjs7bjkg,1.67%,30.91%,7.98%,57.11%,59.46%,58.56%,150.47 KB,6340.45 KB,1065.16 KB,165.27 KB,8790.60 KB,2662.24 KB
i-k1aff9w54dcc6auccqqg,22.00%,57.78%,30.05%,33.94%,36.45%,35.29%,2617.73 KB,14017.73 KB,11514.82 KB,1098.40 KB,9614.53 KB,2909.43 KB
i-k1a2w2d90sizy5fu4ymf,null,null,null,null,null,null,null,null,null,null,null,null
i-k1a7on3fhoshld6la9ae,5.81%,9.79%,6.58%,51.85%,53.03%,52.35%,79.33 KB,1819.27 KB,1174.28 KB,154.33 KB,1175.67 KB,258.80 KB
i-k1a2bzvicoy3b4ls7g3i,3.73%,17.94%,13.85%,46.07%,63.20%,60.33%,403.87 KB,4262.33 KB,1838.34 KB,179.80 KB,6754.53 KB,5296.92 KB
i-k1a5mo23sjpcdsvd3krj,10.86%,29.19%,12.00%,69.26%,71.89%,70.79%,8051.57 KB,16230.67 KB,10956.68 KB,4697.87 KB,9143.47 KB,6767.65 KB
i-k1aidd3hbozpgnsan020,68.25%,98.60%,72.13%,54.72%,59.89%,58.44%,1632.67 KB,7484.07 KB,4573.01 KB,64.40 KB,9678.80 KB,6189.75 KB
i-k1adz38e0ec1rfe5uy6d,6.49%,52.16%,15.79%,31.02%,33.50%,32.60%,0.00 KB,2437.53 KB,225.37 KB,67.87 KB,7224.33 KB,2415.71 KB
i-k1adz38e0ec1rfe5uy6c,6.48%,29.89%,11.80%,79.72%,81.01%,80.47%,14.07 KB,5328.52 KB,560.99 KB,114.87 KB,9493.93 KB,2706.33 KB
i-k1a7iojmgjyzs9mri5ps,6.83%,54.11%,16.65%,51.87%,54.96%,53.23%,0.07 KB,4178.52 KB,233.09 KB,73.00 KB,8751.27 KB,2464.21 KB
i-k1ajbfnaibqgh5ffchjk,3.30%,7.02%,5.30%,31.02%,32.12%,31.73%,0.00 KB,103.60 KB,38.20 KB,16.67 KB,776.07 KB,117.84 KB
i-k1acoykarrbi3cc7pqbw,6.11%,13.98%,7.31%,36.04%,37.12%,36.63%,0.00 KB,996.47 KB,67.14 KB,38.80 KB,1096.73 KB,186.67 KB
i-k1a753go0tdd3vpws86y,20.23%,57.40%,25.99%,54.02%,55.61%,54.77%,0.00 KB,2497.79 KB,133.33 KB,121.80 KB,12357.07 KB,2963.88 KB
i-k1a7pwtwdw8rw1q72h16,4.12%,56.10%,17.62%,14.64%,15.74%,15.15%,0.40 KB,2100.12 KB,236.03 KB,111.40 KB,8385.13 KB,2530.62 KB
i-k1a3jyvj0as6ey4fwdum,5.77%,58.47%,16.15%,14.87%,15.91%,15.42%,0.47 KB,2151.59 KB,230.18 KB,111.67 KB,6651.47 KB,2741.70 KB
